Ord Depth:					[5, 10, 15, 20, 25]
Training Accuracy:			[0.8876964354158682, 0.9968059281972659, 0.9977002683020314, 0.9977002683020314, 0.9977002683020314]
Validation Accuracy:		[0.6114942528735632, 0.6103448275862069, 0.6103448275862069, 0.6103448275862069, 0.6103448275862069]
Testing Accuracy:			[0.5863495346432265, 0.5987590486039297, 0.5977249224405378, 0.5977249224405378, 0.5977249224405378]
Test Accuracy for only win:	0.4963805584281282
Test Accuracy for only lose:	0.5036194415718718

Hot Depth:					[15, 25, 35, 45]
Training Accuracy:			[0.7020569822409608, 0.843873770282356, 0.9274306886418807, 0.9910565989523444]
Validation Accuracy:		[0.5735632183908046, 0.5954022988505747, 0.5908045977011495, 0.5988505747126437]
Testing Accuracy:			[0.5667011375387797, 0.6204756980351603, 0.6111685625646329, 0.6163391933815926]

Pruned:						[15, 25, 35, 45]
Training Accuracy:			[0.7020569822409608, 0.843873770282356, 0.9274306886418807, 0.9910565989523444]
Validation Accuracy:		[0.5735632183908046, 0.5954022988505747, 0.5908045977011495, 0.5988505747126437]
Testing Accuracy:			[0.5667011375387797, 0.6204756980351603, 0.6111685625646329, 0.6163391933815926]

Sci-Kit (depth):			[15, 25, 35, 45]
Training Accuracy:			[0.7134278778586942, 0.8546058515395426, 0.9442953877603169, 0.9955282994761723]
Validation Accuracy:		[0.5862068965517241, 0.5977011494252874, 0.6241379310344828, 0.6310344827586207]
Testing Accuracy:			[0.610134436401241, 0.6349534643226473, 0.6432264736297828, 0.6483971044467425]

Sci-Kit (ccp_alpha):		[0.001, 0.01, 0.1, 0.2]
Training Accuracy:			[0.6894084579021337, 0.5344320940334739, 0.5033857161108982, 0.5033857161108982]
Validation Accuracy:		[0.632183908045977, 0.5, 0.4735632183908046, 0.4735632183908046]
Testing Accuracy:			[0.6628748707342296, 0.5180972078593589, 0.4963805584281282, 0.4963805584281282]

Forest:						
Best Parameters:			{'max_features': 0.9, 'min_samples_split': 6, 'n_estimators': 350}
oob Accuracy:				0.7201993100804907
Training Accuracy:			0.9961671138367191
Validation Accuracy:		0.6977011494252874
Testing Accuracy:			0.7300930713547052
